,X1,X2,X3,X4,X5
0,1.0,3.0,3.0,*,4.0
1,1.0,1.0,1.0,*,4.0
2,2.0,1.0,1.0,*,3.0
3,1.0,4.0,3.0,*,1.0
4,3.0,3.0,2.0,*,2.0
5,3.0,4.0,2.0,3.0,3.0
6,4.0,3.0,2.0,*,*
7,3.0,1.0,1.0,*,4.0
8,4.0,4.0,2.0,*,*
9,3.0,1.0,1.0,3.0,3.0
11,1.0,3.0,1.0,4.0,3.0
12,4.0,3.0,1.0,*,*
13,3.0,1.0,1.0,*,3.0
16,1.0,3.0,2.0,*,*
18,3.0,3.0,2.0,3.0,1.0
19,1.0,1.0,1.0,*,4.0
23,4.0,1.0,3.0,2.0,3.0
25,1.0,2.0,3.0,1.0,3.0
26,1.0,1.0,3.0,*,3.0
27,1.0,2.0,3.0,3.0,1.0
28,3.0,3.0,3.0,*,4.0
29,1.0,3.0,4.0,3.0,3.0
31,4.0,2.0,*,*,*
32,3.0,2.0,3.0,*,*
33,1.0,1.0,1.0,*,1.0
34,1.0,3.0,3.0,*,3.0
36,1.0,3.0,3.0,3.0,4.0
38,4.0,3.0,*,*,*
39,2.0,4.0,3.0,*,*
40,1.0,3.0,1.0,*,3.0
41,1.0,3.0,2.0,*,3.0
44,1.0,4.0,2.0,*,3.0
45,3.0,3.0,1.0,*,2.0
46,1.0,4.0,3.0,3.0,1.0
47,4.0,1.0,3.0,1.0,1.0
48,1.0,1.0,1.0,*,4.0
50,4.0,3.0,3.0,*,1.0
51,1.0,3.0,1.0,*,*
52,3.0,3.0,3.0,1.0,2.0
53,4.0,3.0,2.0,1.0,3.0
54,2.0,3.0,3.0,*,*
55,3.0,3.0,3.0,1.0,3.0
56,3.0,2.0,4.0,3.0,3.0
58,3.0,1.0,1.0,1.0,3.0
59,2.0,2.0,3.0,2.0,3.0
60,1.0,2.0,3.0,3.0,1.0
62,3.0,2.0,2.0,*,*
63,3.0,3.0,3.0,1.0,3.0
64,1.0,2.0,2.0,*,*
66,1.0,3.0,4.0,*,3.0
67,1.0,3.0,3.0,*,1.0
68,3.0,2.0,1.0,*,3.0
70,3.0,1.0,3.0,*,4.0
71,1.0,2.0,3.0,3.0,1.0
73,2.0,3.0,1.0,*,*
74,3.0,3.0,2.0,1.0,1.0
75,3.0,2.0,3.0,*,3.0
76,1.0,1.0,3.0,*,3.0
77,1.0,1.0,1.0,*,2.0
78,1.0,3.0,4.0,*,3.0
79,3.0,4.0,1.0,*,3.0
80,1.0,2.0,2.0,*,*
81,1.0,3.0,3.0,*,2.0
82,3.0,2.0,1.0,*,3.0
83,2.0,1.0,2.0,*,1.0
85,4.0,3.0,1.0,*,*
87,3.0,3.0,1.0,3.0,2.0
88,2.0,3.0,3.0,*,1.0
89,1.0,3.0,3.0,*,3.0
91,3.0,3.0,4.0,*,2.0
92,1.0,4.0,3.0,*,*
93,1.0,3.0,3.0,*,1.0
96,2.0,2.0,3.0,*,*
97,2.0,3.0,2.0,1.0,1.0
99,3.0,3.0,3.0,3.0,1.0
100,3.0,4.0,2.0,3.0,3.0
101,2.0,2.0,3.0,*,*
102,3.0,3.0,3.0,*,2.0
103,1.0,3.0,4.0,*,*
104,1.0,1.0,*,*,*
105,1.0,2.0,1.0,3.0,2.0
107,3.0,2.0,2.0,3.0,3.0
108,1.0,1.0,1.0,*,2.0
109,3.0,3.0,4.0,*,2.0
110,3.0,3.0,3.0,3.0,3.0
111,2.0,2.0,4.0,*,*
112,1.0,2.0,3.0,1.0,3.0
113,1.0,2.0,1.0,*,1.0
114,4.0,3.0,3.0,*,4.0
115,2.0,1.0,1.0,*,3.0
116,2.0,4.0,3.0,*,*
118,3.0,1.0,3.0,*,2.0
119,1.0,1.0,1.0,*,1.0
120,1.0,1.0,3.0,*,3.0
121,3.0,1.0,2.0,*,1.0
123,2.0,3.0,1.0,1.0,3.0
124,3.0,3.0,3.0,*,1.0
125,2.0,4.0,3.0,*,3.0
126,1.0,1.0,1.0,3.0,3.0
130,3.0,4.0,3.0,*,3.0
131,3.0,3.0,3.0,1.0,2.0
132,3.0,3.0,1.0,*,1.0
134,4.0,2.0,4.0,*,*
135,1.0,3.0,1.0,*,*
136,4.0,2.0,3.0,*,*
137,1.0,1.0,1.0,*,1.0
138,3.0,1.0,3.0,3.0,1.0
139,3.0,3.0,3.0,1.0,3.0
142,3.0,1.0,1.0,*,1.0
145,2.0,3.0,3.0,*,*
146,3.0,1.0,3.0,3.0,3.0
147,1.0,3.0,1.0,*,3.0
148,1.0,3.0,2.0,*,*
149,2.0,1.0,1.0,*,3.0
150,3.0,1.0,1.0,*,4.0
151,3.0,3.0,4.0,*,*
152,4.0,4.0,*,*,*
153,3.0,3.0,3.0,*,3.0
155,1.0,3.0,3.0,*,4.0
156,3.0,3.0,1.0,*,3.0
158,3.0,3.0,3.0,3.0,1.0
159,4.0,3.0,1.0,*,*
160,3.0,2.0,4.0,3.0,3.0
162,1.0,3.0,3.0,3.0,4.0
163,3.0,3.0,1.0,*,3.0
165,3.0,1.0,2.0,*,1.0
167,1.0,1.0,1.0,3.0,3.0
168,3.0,1.0,3.0,3.0,3.0
170,2.0,1.0,2.0,*,2.0
172,3.0,2.0,3.0,*,3.0
173,3.0,2.0,3.0,*,*
174,1.0,3.0,2.0,*,1.0
176,3.0,1.0,1.0,*,3.0
177,3.0,4.0,3.0,*,1.0
178,3.0,1.0,3.0,3.0,3.0
179,3.0,1.0,3.0,3.0,3.0
180,3.0,3.0,1.0,*,1.0
181,2.0,2.0,1.0,*,*
182,3.0,1.0,3.0,3.0,1.0
184,3.0,2.0,1.0,*,3.0
185,3.0,1.0,3.0,*,2.0
186,3.0,3.0,1.0,*,1.0
188,1.0,3.0,2.0,*,*
189,3.0,3.0,4.0,*,*
190,4.0,1.0,1.0,*,3.0
192,3.0,4.0,3.0,*,3.0
194,1.0,3.0,4.0,3.0,3.0
195,1.0,3.0,1.0,4.0,1.0
196,3.0,4.0,3.0,*,*
197,4.0,3.0,2.0,1.0,3.0
198,2.0,1.0,1.0,*,*
199,3.0,3.0,2.0,3.0,2.0
200,2.0,2.0,3.0,2.0,3.0
202,4.0,1.0,1.0,*,*
204,4.0,1.0,3.0,1.0,1.0
205,2.0,1.0,1.0,*,*
206,1.0,3.0,2.0,*,1.0
207,1.0,2.0,1.0,*,1.0
210,3.0,4.0,2.0,*,*
213,2.0,1.0,3.0,*,3.0
214,2.0,1.0,1.0,*,1.0
215,3.0,1.0,2.0,*,*
216,3.0,3.0,2.0,3.0,2.0
218,3.0,2.0,3.0,*,3.0
219,1.0,1.0,1.0,*,1.0
220,3.0,3.0,2.0,3.0,2.0
221,3.0,1.0,4.0,*,*
222,3.0,3.0,3.0,*,2.0
224,3.0,1.0,2.0,1.0,1.0
227,1.0,3.0,4.0,*,3.0
228,2.0,1.0,3.0,*,1.0
229,1.0,1.0,3.0,*,*
230,4.0,1.0,3.0,2.0,3.0
231,4.0,3.0,1.0,*,*
232,2.0,1.0,4.0,*,2.0
233,1.0,2.0,2.0,*,*
235,3.0,1.0,3.0,3.0,1.0
237,2.0,1.0,4.0,*,4.0
239,1.0,2.0,1.0,3.0,2.0
240,1.0,3.0,1.0,*,*
242,3.0,3.0,3.0,1.0,3.0
243,3.0,3.0,3.0,1.0,2.0
245,4.0,3.0,3.0,3.0,1.0
246,1.0,2.0,1.0,1.0,3.0
247,1.0,2.0,3.0,*,3.0
248,3.0,3.0,2.0,2.0,3.0
249,2.0,3.0,1.0,1.0,3.0
250,3.0,1.0,1.0,1.0,1.0
251,1.0,1.0,1.0,*,1.0
252,4.0,2.0,3.0,*,3.0
253,3.0,1.0,1.0,3.0,3.0
254,1.0,2.0,3.0,*,*
255,4.0,3.0,3.0,3.0,1.0
256,4.0,1.0,*,*,*
258,3.0,3.0,1.0,3.0,3.0
259,3.0,3.0,2.0,3.0,2.0
260,3.0,1.0,3.0,*,3.0
262,3.0,3.0,3.0,3.0,3.0
263,1.0,2.0,3.0,1.0,3.0
265,1.0,1.0,3.0,*,2.0
266,2.0,4.0,2.0,*,*
267,3.0,1.0,3.0,*,2.0
269,3.0,3.0,2.0,*,*
270,2.0,3.0,4.0,*,*
271,2.0,3.0,1.0,*,3.0
273,3.0,3.0,1.0,3.0,3.0
274,1.0,1.0,1.0,3.0,3.0
275,1.0,3.0,2.0,*,*
276,2.0,1.0,2.0,*,*
278,3.0,2.0,3.0,*,3.0
279,2.0,1.0,3.0,3.0,3.0
280,1.0,4.0,3.0,3.0,1.0
281,2.0,2.0,3.0,*,3.0
282,3.0,2.0,2.0,3.0,3.0
283,3.0,3.0,3.0,3.0,3.0
284,3.0,2.0,4.0,3.0,3.0
286,3.0,3.0,1.0,*,3.0
287,1.0,2.0,2.0,*,1.0
288,1.0,1.0,1.0,3.0,3.0
289,3.0,1.0,3.0,3.0,1.0
290,4.0,1.0,1.0,*,3.0
291,1.0,2.0,2.0,*,1.0
292,3.0,1.0,4.0,*,3.0
294,1.0,1.0,1.0,3.0,3.0
295,3.0,2.0,1.0,*,*
296,1.0,2.0,3.0,*,3.0
297,2.0,3.0,1.0,*,*
298,4.0,3.0,2.0,1.0,3.0
299,1.0,3.0,1.0,*,*
300,3.0,3.0,3.0,1.0,3.0
301,3.0,3.0,1.0,3.0,2.0
302,3.0,3.0,1.0,*,*
303,4.0,4.0,2.0,*,*
304,1.0,1.0,3.0,*,3.0
305,1.0,1.0,1.0,*,2.0
306,2.0,3.0,4.0,*,*
307,1.0,1.0,3.0,*,3.0
309,3.0,4.0,1.0,*,*
310,3.0,4.0,2.0,1.0,3.0
314,3.0,1.0,4.0,3.0,3.0
315,1.0,3.0,1.0,*,1.0
316,2.0,2.0,*,*,*
317,3.0,1.0,3.0,3.0,1.0
318,3.0,1.0,3.0,*,1.0
319,1.0,4.0,*,*,*
320,3.0,1.0,1.0,3.0,3.0
321,2.0,3.0,3.0,*,*
322,4.0,2.0,4.0,*,*
323,1.0,2.0,1.0,*,3.0
324,3.0,1.0,2.0,*,*
326,1.0,3.0,3.0,*,2.0
327,3.0,3.0,2.0,*,3.0
328,2.0,3.0,1.0,*,*
329,2.0,3.0,2.0,1.0,1.0
330,3.0,3.0,3.0,1.0,1.0
331,1.0,3.0,1.0,*,*
332,2.0,4.0,3.0,*,3.0
334,2.0,2.0,3.0,*,*
336,2.0,1.0,1.0,*,1.0
337,3.0,2.0,3.0,*,*
338,2.0,3.0,3.0,2.0,1.0
339,3.0,3.0,4.0,*,2.0
340,2.0,1.0,2.0,3.0,1.0
342,3.0,3.0,3.0,1.0,3.0
343,4.0,1.0,3.0,*,1.0
344,2.0,1.0,3.0,*,1.0
346,1.0,4.0,2.0,*,3.0
347,2.0,2.0,1.0,*,*
348,3.0,2.0,2.0,*,*
349,3.0,4.0,3.0,1.0,1.0
351,3.0,4.0,*,*,*
352,3.0,1.0,3.0,3.0,3.0
353,3.0,1.0,3.0,*,4.0
356,1.0,3.0,3.0,*,1.0
358,1.0,2.0,1.0,3.0,2.0
359,1.0,3.0,2.0,*,3.0
360,4.0,3.0,3.0,*,*
361,3.0,1.0,4.0,3.0,3.0
362,2.0,1.0,2.0,*,2.0
363,3.0,3.0,1.0,3.0,3.0
364,2.0,3.0,3.0,*,*
365,3.0,3.0,3.0,3.0,3.0
366,1.0,2.0,3.0,3.0,1.0
367,3.0,3.0,3.0,1.0,3.0
369,3.0,1.0,3.0,*,3.0
371,1.0,2.0,2.0,*,*
373,2.0,1.0,3.0,3.0,3.0
375,3.0,3.0,3.0,3.0,3.0
376,3.0,3.0,1.0,*,2.0
380,3.0,2.0,4.0,*,3.0
381,3.0,4.0,3.0,*,1.0
382,4.0,3.0,3.0,*,*
383,3.0,4.0,3.0,1.0,1.0
384,2.0,2.0,3.0,*,3.0
386,3.0,1.0,3.0,*,4.0
387,4.0,2.0,*,*,*
388,2.0,2.0,4.0,*,*
389,2.0,2.0,*,*,*
390,3.0,3.0,2.0,1.0,1.0
391,3.0,3.0,1.0,3.0,3.0
392,3.0,3.0,3.0,*,4.0
393,1.0,3.0,3.0,*,2.0
394,2.0,4.0,*,*,*
396,3.0,3.0,2.0,3.0,1.0
397,4.0,3.0,2.0,*,3.0
