,X1,X2,X3,X4,X5
0,1.0,1.0,1.0,*,2.0
1,4.0,3.0,2.0,*,3.0
2,2.0,4.0,*,*,*
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,3.0,1.0,1.0
5,2.0,1.0,1.0,3.0,1.0
6,4.0,1.0,3.0,*,1.0
7,3.0,3.0,2.0,*,3.0
8,3.0,3.0,2.0,*,3.0
9,1.0,3.0,3.0,3.0,3.0
10,4.0,2.0,*,*,*
11,3.0,4.0,*,*,1.0
12,4.0,2.0,*,*,2.0
13,1.0,2.0,1.0,*,2.0
14,3.0,3.0,3.0,*,1.0
15,1.0,2.0,3.0,*,3.0
16,3.0,3.0,2.0,4.0,1.0
17,2.0,3.0,1.0,*,3.0
18,3.0,4.0,1.0,*,2.0
19,1.0,1.0,1.0,2.0,3.0
20,3.0,4.0,*,*,2.0
21,3.0,2.0,1.0,3.0,3.0
22,3.0,1.0,1.0,*,2.0
23,2.0,3.0,3.0,*,1.0
24,3.0,1.0,3.0,*,2.0
25,1.0,3.0,1.0,3.0,3.0
26,1.0,4.0,*,*,*
27,4.0,3.0,3.0,1.0,1.0
28,1.0,2.0,1.0,*,1.0
29,3.0,4.0,1.0,3.0,3.0
30,1.0,1.0,3.0,3.0,1.0
31,4.0,1.0,*,*,2.0
32,1.0,2.0,*,*,1.0
33,1.0,2.0,4.0,*,1.0
34,1.0,3.0,3.0,3.0,2.0
35,2.0,2.0,3.0,*,3.0
36,4.0,2.0,*,*,*
37,1.0,3.0,1.0,4.0,3.0
38,1.0,2.0,4.0,*,3.0
39,2.0,3.0,3.0,*,3.0
40,2.0,2.0,3.0,2.0,3.0
41,3.0,3.0,1.0,*,2.0
42,1.0,1.0,3.0,1.0,1.0
43,4.0,3.0,*,*,3.0
44,1.0,2.0,1.0,3.0,2.0
45,3.0,2.0,*,*,3.0
46,3.0,3.0,*,*,2.0
47,3.0,4.0,2.0,*,1.0
48,4.0,1.0,2.0,*,3.0
49,1.0,2.0,*,*,2.0
50,2.0,1.0,1.0,*,3.0
51,3.0,3.0,3.0,2.0,3.0
52,3.0,1.0,3.0,*,3.0
53,2.0,1.0,2.0,*,3.0
54,1.0,2.0,2.0,*,3.0
55,3.0,4.0,1.0,*,3.0
56,3.0,1.0,3.0,*,2.0
57,1.0,1.0,1.0,3.0,1.0
58,4.0,1.0,3.0,*,1.0
59,1.0,1.0,1.0,*,2.0
60,1.0,1.0,3.0,3.0,1.0
61,4.0,3.0,*,*,3.0
62,3.0,1.0,*,*,4.0
63,3.0,3.0,2.0,*,3.0
64,2.0,2.0,*,*,1.0
65,3.0,3.0,2.0,*,3.0
66,3.0,3.0,3.0,*,2.0
67,3.0,1.0,3.0,1.0,3.0
68,2.0,2.0,*,*,3.0
69,2.0,4.0,*,*,*
70,3.0,1.0,2.0,3.0,3.0
71,2.0,2.0,1.0,*,2.0
72,3.0,3.0,2.0,3.0,1.0
73,3.0,2.0,1.0,*,1.0
74,1.0,3.0,3.0,3.0,3.0
75,2.0,3.0,*,*,1.0
76,1.0,3.0,1.0,2.0,3.0
77,1.0,4.0,1.0,3.0,3.0
78,1.0,2.0,3.0,3.0,1.0
79,1.0,3.0,3.0,3.0,1.0
80,3.0,2.0,*,*,3.0
81,1.0,3.0,3.0,3.0,2.0
82,3.0,3.0,3.0,2.0,3.0
83,1.0,1.0,1.0,*,3.0
84,1.0,1.0,1.0,3.0,3.0
85,2.0,3.0,2.0,*,3.0
86,3.0,1.0,3.0,*,2.0
87,3.0,1.0,2.0,3.0,3.0
88,2.0,3.0,*,*,*
89,3.0,4.0,3.0,*,3.0
90,2.0,1.0,3.0,*,3.0
91,3.0,3.0,2.0,*,3.0
92,3.0,3.0,3.0,3.0,3.0
93,3.0,2.0,*,*,2.0
94,1.0,1.0,3.0,3.0,1.0
95,1.0,3.0,*,*,1.0
96,3.0,3.0,3.0,*,1.0
97,1.0,3.0,1.0,*,1.0
98,1.0,2.0,3.0,3.0,1.0
99,3.0,3.0,1.0,2.0,3.0
100,3.0,4.0,1.0,3.0,3.0
101,3.0,2.0,4.0,3.0,2.0
102,3.0,4.0,3.0,*,1.0
103,3.0,4.0,2.0,*,3.0
104,3.0,1.0,3.0,3.0,1.0
105,3.0,3.0,1.0,3.0,2.0
106,1.0,2.0,1.0,3.0,1.0
107,1.0,3.0,2.0,*,3.0
108,3.0,3.0,3.0,*,1.0
109,3.0,3.0,3.0,*,2.0
110,3.0,2.0,*,*,4.0
111,2.0,1.0,2.0,1.0,3.0
112,3.0,3.0,1.0,2.0,2.0
113,1.0,3.0,*,*,3.0
114,2.0,4.0,*,*,*
115,1.0,3.0,*,*,2.0
116,3.0,3.0,1.0,*,3.0
117,2.0,3.0,*,*,*
118,1.0,2.0,2.0,4.0,3.0
119,1.0,1.0,*,*,4.0
120,2.0,3.0,3.0,2.0,2.0
121,1.0,1.0,1.0,*,1.0
122,2.0,2.0,*,*,3.0
123,3.0,3.0,*,*,2.0
124,2.0,2.0,1.0,*,2.0
125,3.0,4.0,3.0,*,1.0
126,4.0,1.0,*,*,1.0
127,1.0,1.0,4.0,3.0,2.0
128,3.0,3.0,1.0,*,1.0
129,2.0,1.0,2.0,*,3.0
130,2.0,3.0,1.0,*,1.0
131,3.0,1.0,*,*,1.0
132,3.0,2.0,3.0,*,3.0
133,1.0,4.0,3.0,*,3.0
134,4.0,2.0,*,*,2.0
135,3.0,3.0,*,*,1.0
136,1.0,1.0,1.0,*,1.0
137,1.0,3.0,3.0,3.0,1.0
138,1.0,1.0,1.0,*,4.0
139,3.0,3.0,1.0,1.0,3.0
140,1.0,4.0,*,*,*
141,2.0,1.0,3.0,*,1.0
142,3.0,1.0,3.0,*,3.0
143,4.0,3.0,*,*,2.0
144,3.0,3.0,3.0,4.0,3.0
145,4.0,3.0,*,*,*
146,3.0,3.0,3.0,3.0,1.0
147,1.0,4.0,*,*,*
148,2.0,3.0,*,*,*
149,1.0,1.0,1.0,*,3.0
150,4.0,1.0,*,*,1.0
151,3.0,1.0,*,*,3.0
152,1.0,1.0,1.0,3.0,2.0
153,2.0,1.0,1.0,3.0,1.0
154,3.0,1.0,1.0,1.0,3.0
155,3.0,1.0,1.0,2.0,1.0
156,1.0,3.0,3.0,1.0,1.0
157,3.0,1.0,1.0,*,3.0
158,3.0,1.0,2.0,3.0,3.0
159,2.0,3.0,1.0,1.0,2.0
160,3.0,4.0,*,*,2.0
161,3.0,4.0,*,*,2.0
162,3.0,3.0,1.0,*,1.0
163,3.0,1.0,3.0,2.0,3.0
164,3.0,3.0,2.0,4.0,1.0
165,2.0,1.0,3.0,*,1.0
166,3.0,3.0,2.0,1.0,3.0
167,3.0,3.0,3.0,*,1.0
168,1.0,1.0,3.0,*,3.0
169,3.0,3.0,*,*,4.0
170,2.0,3.0,3.0,*,3.0
171,1.0,3.0,3.0,*,1.0
172,3.0,1.0,1.0,*,3.0
173,3.0,1.0,*,*,4.0
174,4.0,4.0,*,*,2.0
175,3.0,2.0,*,*,3.0
176,1.0,2.0,1.0,*,3.0
177,2.0,1.0,1.0,*,3.0
178,2.0,2.0,*,*,3.0
179,3.0,1.0,1.0,1.0,3.0
180,4.0,2.0,1.0,*,1.0
181,3.0,1.0,1.0,1.0,3.0
182,3.0,3.0,2.0,1.0,3.0
183,3.0,3.0,3.0,*,4.0
184,1.0,3.0,1.0,*,4.0
